GEOG,TOT_POP,MEDINC,TOT_EMP_RES,year_data
Lower West Side,32998.0,39020.1465201465,11844.0,2018
McKinley Park,16064.0,43495.5752212389,5549.0,2018
Montclare,13040.0,48626.2376237624,5178.0,2018
Morgan Park,23035.0,59522.1843003413,9419.0,2018
Mount Greenwood,19029.0,91443.9088518843,9969.0,2018
Near North Side,86343.0,88651.1396665137,46703.0,2018
Near South Side,23190.0,87812.7369219105,11501.0,2018
Near West Side,62560.0,75735.7697283312,27817.0,2018
New City,41098.0,30622.7967097532,12133.0,2018
North Center,34942.0,97702.6686807654,17264.0,2018
North Lawndale,35423.0,24003.0211480363,10837.0,2018
North Park,18743.0,54387.7551020408,6515.0,2018
Norwood Park,36164.0,71404.6121593291,18232.0,2018
Oakland,6474.0,28231.1320754717,2325.0,2018
O'Hare,13130.0,49208.8607594937,5389.0,2018
Portage Park,64517.0,58294.6145723337,25907.0,2018
Pullman,6620.0,37165.4929577465,2919.0,2018
Riverdale,7382.0,14286.7647058824,1739.0,2018
Rogers Park,55500.0,37549.1480996068,23090.0,2018
Roseland,42327.0,37067.4300254453,12887.0,2018
South Chicago,27601.0,28824.1678726483,8434.0,2018
South Deering,14635.0,34077.6699029126,4586.0,2018
South Lawndale,73983.0,31766.323024055,16572.0,2018
South Shore,50768.0,25259.7109304426,15916.0,2018
The Loop,35010.0,97979.5831561038,16754.0,2018
Uptown,56296.0,45643.9393939394,26725.0,2018
Washington Heights,27055.0,44491.4040114613,8625.0,2018
Washington Park,11868.0,23742.1875,3446.0,2018
West Elsdon,19958.0,50792.8118393235,6446.0,2018
West Englewood,30798.0,27222.6821192053,9175.0,2018
West Garfield Park,17499.0,22697.5169300226,5318.0,2018
West Lawn,33595.0,50972.850678733,11618.0,2018
West Pullman,27582.0,35410.1123595506,8696.0,2018
West Ridge,73723.0,48700.7168458781,26015.0,2018
West Town,85307.0,80895.6386292835,45126.0,2018
Woodlawn,23808.0,24603.305785124,7504.0,2018
Albany Park,51992.0,58128.20513,17805.0,2019
Archer Heights,13142.0,46632.12435,4679.0,2019
Armour Square,13455.0,26466.21622,4828.0,2019
Ashburn,43792.0,66560.12658,16531.0,2019
Auburn Gresham,46278.0,31694.19134,14500.0,2019
Austin,95260.0,32843.04285,33535.0,2019
Avalon Park,9985.0,41394.23077,3262.0,2019
Avondale,37368.0,51702.6749,15135.0,2019
Belmont Cragin,79910.0,47262.93103,26150.0,2019
Beverly,20822.0,91903.40909,9791.0,2019
Bridgeport,33637.0,45670.73171,13253.0,2019
Brighton Park,44813.0,40513.36898,12544.0,2019
Burnside,2254.0,24940.94488,842.0,2019
Calumet Heights,13188.0,49767.65799,4677.0,2019
Chatham,31120.0,32596.80135,9908.0,2019
Chicago Lawn,53098.0,33843.62348,16455.0,2019
Clearing,25891.0,62381.75676,10539.0,2019
Douglas,20781.0,31906.97674,6667.0,2019
Dunning,43689.0,65947.63092,19324.0,2019
East Garfield Park,19996.0,23116.16162,7101.0,2019
East Side,23737.0,43224.40087,7491.0,2019
Edgewater,55965.0,49287.01181,26824.0,2019
Edison Park,11605.0,99194.21488,6114.0,2019
Englewood,25075.0,19795.0429,7241.0,2019
Forest Glen,19019.0,110365.4791,8533.0,2019
Fuller Park,2439.0,23357.14286,849.0,2019
Gage Park,40873.0,41138.39286,11117.0,2019
Garfield Ridge,36396.0,68211.92053,15315.0,2019
Grand Boulevard,22313.0,31970.13487,8011.0,2019
Greater Grand Crossing,31766.0,27035.42781,9334.0,2019
Hegewisch,9418.0,55429.6875,3666.0,2019
Hermosa,24144.0,39590.64327,7790.0,2019
Humboldt Park,56427.0,35941.35802,17329.0,2019
Hyde Park,26827.0,52627.11864,11144.0,2019
Irving Park,54606.0,59537.67123,21904.0,2019
Jefferson Park,26808.0,71459.19421,12107.0,2019
Kenwood,17189.0,44087.98283,7058.0,2019
Lake View,100470.0,86118.62301,58002.0,2019
Lincoln Park,67710.0,99684.56573,33819.0,2019
Lincoln Square,41715.0,71736.93086,20174.0,2019
Logan Square,73046.0,70338.93986,35266.0,2019
Lower West Side,32888.0,42457.55518,11844.0,2019
McKinley Park,15767.0,44904.21456,5549.0,2019
Montclare,13830.0,48122.3176,5178.0,2019
Morgan Park,22394.0,58816.25442,9419.0,2019
Mount Greenwood,19277.0,94677.08333,9969.0,2019
Near North Side,88893.0,93707.26029,46703.0,2019
Near South Side,23620.0,94151.75613,11501.0,2019
Near West Side,62872.0,80727.42475,27817.0,2019
New City,39561.0,32861.79922,12133.0,2019
North Center,35789.0,104351.2165,17264.0,2019
North Lawndale,35947.0,26361.91199,10837.0,2019
North Park,18842.0,56086.95652,6515.0,2019
Norwood Park,37089.0,74069.37653,18232.0,2019
Oakland,6645.0,28291.45729,2325.0,2019
O'Hare,12377.0,49294.87179,5389.0,2019
Portage Park,64307.0,61392.54837,25907.0,2019
Pullman,6613.0,40662.05534,2919.0,2019
Riverdale,7394.0,13344.7099,1739.0,2019
Rogers Park,55062.0,39106.1828,23090.0,2019
Roseland,42433.0,38685.63686,12887.0,2019
South Chicago,28263.0,29580.68615,8434.0,2019
South Deering,14614.0,34093.75,4586.0,2019
South Lawndale,74851.0,32896.0396,16572.0,2019
South Shore,50418.0,24344.64405,15916.0,2019
The Loop,35880.0,103336.2793,16754.0,2019
Uptown,57973.0,49680.90452,26725.0,2019
Washington Heights,27453.0,44706.60147,8625.0,2019
Washington Park,11502.0,25384.61538,3446.0,2019
West Elsdon,19237.0,54849.39759,6446.0,2019
West Englewood,29929.0,28006.27943,9175.0,2019
West Garfield Park,17163.0,23250.0,5318.0,2019
West Lawn,33108.0,50497.88136,11618.0,2019
West Pullman,27742.0,38144.49064,8696.0,2019
West Ridge,76215.0,49855.33454,26015.0,2019
West Town,84502.0,88761.04764,45126.0,2019
Woodlawn,23268.0,25122.2597,7504.0,2019
Albany Park,50342.99998,59883.04094,18067.0,2020
Archer Heights,13055.08151,44108.84007,4594.0,2020
Armour Square,13779.1184,27463.83031,5035.0,2020
Ashburn,43985.99999,68463.735,16687.0,2020
Auburn Gresham,45271.00001,34661.2265,14538.0,2020
Austin,94762.00002,33419.90397,33411.0,2020
Avalon Park,9737.719124,43372.9383,3308.0,2020
Avondale,37908.99999,60000.0,15498.0,2020
Belmont Cragin,80648.43439,50767.45194,26646.0,2020
Beverly,20437.00001,98415.94828,9903.0,2020
Bridgeport,33827.8816,50579.58519,13262.0,2020
Brighton Park,45031.0,41176.47059,13034.0,2020
Burnside,2336.000001,25460.52632,847.0,2020
Calumet Heights,12956.0,48966.66667,4737.0,2020
Chatham,30700.28088,31828.18516,10099.0,2020
Chicago Lawn,52003.00001,33486.17512,16582.0,2020
Clearing,25735.0,61524.76108,10359.0,2020
Douglas,21268.0,31509.17432,6690.0,2020
Dunning,44034.99996,70243.09912,19517.0,2020
East Garfield Park,19730.99942,22817.61749,7214.0,2020
East Side,24194.41614,45700.93911,7683.0,2020
Edgewater,57022.0,53182.64015,26706.0,2020
Edison Park,11566.8755,101213.0685,6205.0,2020
Englewood,23792.0,21274.57002,7434.0,2020
Forest Glen,19112.72496,111770.6373,8655.0,2020
Fuller Park,2398.903029,22920.25862,874.0,2020
Gage Park,39302.0,41182.00837,11415.0,2020
Garfield Ridge,36395.99999,71398.37083,15270.0,2020
Grand Boulevard,22784.0,32348.13085,8275.0,2020
Greater Grand Crossing,30804.99999,26955.5874,9357.0,2020
Hegewisch,9240.583857,51565.99913,3653.0,2020
Hermosa,23489.00001,43009.11854,7983.0,2020
Humboldt Park,56161.99999,38592.71523,18243.0,2020
Hyde Park,27517.0,54139.78495,11065.0,2020
Irving Park,53665.00002,64598.48843,21972.0,2020
Jefferson Park,27989.00001,76054.30826,11945.0,2020
Kenwood,17440.0,49161.3924,7053.0,2020
Lake View,100547.0,89276.45228,55325.0,2020
Lincoln Park,68696.99999,108874.6823,32732.0,2020
Lincoln Square,41713.0,73620.64117,19695.0,2020
Logan Square,72724.00001,75333.4654,35735.0,2020
Lower West Side,32788.99999,45204.43925,12051.0,2020
McKinley Park,15920.0,46112.06896,5790.0,2020
Montclare,13863.56562,45316.63462,5288.0,2020
Morgan Park,21694.36365,61032.15909,9431.0,2020
Mount Greenwood,19342.00001,98422.447,10198.0,2020
Near North Side,89994.99999,99731.56764,49177.0,2020
Near South Side,24343.00002,100719.856,12151.0,2020
Near West Side,62733.00001,83574.72018,29186.0,2020
New City,39463.09697,33227.28322,12208.0,2020
North Center,35704.99999,115756.1728,16678.0,2020
North Lawndale,33854.00001,26781.20617,10966.0,2020
North Park,18450.99999,54827.95701,6525.0,2020
Norwood Park,37311.96762,80649.45088,18679.0,2020
Oakland,6850.000002,28611.11111,2556.0,2020
O'Hare,12771.79774,50990.30515,5342.0,2020
Portage Park,64954.39044,66309.30835,25921.0,2020
Pullman,6816.000001,42489.58334,2795.0,2020
Riverdale,7261.999999,13517.69912,1796.0,2020
Rogers Park,54872.00001,40590.6822,23101.0,2020
Roseland,41106.00001,39303.54796,12844.0,2020
South Chicago,29021.0,32844.96754,8413.0,2020
South Deering,14696.99997,35436.68121,4747.0,2020
South Lawndale,74943.0,33611.69102,17052.0,2020
South Shore,51543.00001,29889.62472,16102.0,2020
The Loop,37647.00001,107245.8653,17570.0,2020
Uptown,58424.00001,51888.77755,27303.0,2020
Washington Heights,27354.0,50047.55434,8609.0,2020
Washington Park,11355.0,27457.62712,3659.0,2020
West Elsdon,19362.91849,55379.52371,6583.0,2020
West Englewood,28236.99999,27759.78916,9398.0,2020
West Garfield Park,16950.0006,24590.55263,5559.0,2020
West Lawn,32176.0,51081.67771,11705.0,2020
West Pullman,27480.06008,41079.19301,8510.0,2020
West Ridge,77212.00002,52038.56748,26954.0,2020
West Town,84255.0,96499.0138,46125.0,2020
Woodlawn,22925.0,26415.17129,7689.0,2020
Albany Park,49805.99998,61759.0,18419.0,2021
Archer Heights,13700.97018,50458.0,4676.0,2021
Armour Square,13598.48056,31663.0,5268.0,2021
Ashburn,43355.99999,70223.0,17077.0,2021
Auburn Gresham,45909.00001,34396.0,15082.0,2021
Austin,93727.00001,33515.0,34451.0,2021
Avalon Park,9670.567015,44588.0,3383.0,2021
Avondale,38117.99999,66130.0,16178.0,2021
Belmont Cragin,78550.04844,51689.0,27510.0,2021
Beverly,19791.00001,98636.0,9815.0,2021
Bridgeport,34479.51944,54915.0,13556.0,2021
Brighton Park,44156.0,41650.0,13378.0,2021
Burnside,2006.000001,29324.0,829.0,2021
Calumet Heights,12815.0,49478.0,4894.0,2021
Chatham,31009.43299,34241.0,10106.0,2021
Chicago Lawn,51352.00001,34273.0,16854.0,2021
Clearing,24976.0,60880.0,10499.0,2021
Douglas,21325.0,31856.0,6944.0,2021
Dunning,43444.99997,72272.0,19966.0,2021
East Garfield Park,18933.97988,24617.0,7362.0,2021
East Side,23690.73364,48090.0,7516.0,2021
Edgewater,57649.00001,55768.0,26975.0,2021
Edison Park,11111.70286,105233.0,6211.0,2021
Englewood,22921.0,22127.0,7490.0,2021
Forest Glen,19404.88675,123856.0,8801.0,2021
Fuller Park,2394.617536,23148.0,857.0,2021
Gage Park,37478.0,42277.0,11815.0,2021
Garfield Ridge,37143.99999,74962.0,15714.0,2021
Grand Boulevard,22209.0,33503.0,8543.0,2021
Greater Grand Crossing,30148.99999,29647.0,9603.0,2021
Hegewisch,9121.266363,57151.0,3638.0,2021
Hermosa,23481.0,46915.0,8083.0,2021
Humboldt Park,55363.99999,39492.0,18420.0,2021
Hyde Park,27482.0,55377.0,11522.0,2021
Irving Park,53530.00002,66878.0,22991.0,2021
Jefferson Park,27503.0,76694.0,12090.0,2021
Kenwood,17954.0,49114.0,7216.0,2021
Lake View,101316.0,92779.0,55968.0,2021
Lincoln Park,69464.99999,115389.0,33639.0,2021
Lincoln Square,42103.0,81149.0,20026.0,2021
Logan Square,72336.00001,82908.0,36576.0,2021
Lower West Side,33202.99999,52104.0,12187.0,2021
McKinley Park,15177.0,49638.0,5733.0,2021
Montclare,14317.95158,53285.0,5264.0,2021
Morgan Park,21067.61724,63501.0,9491.0,2021
Mount Greenwood,19190.00001,102256.0,9991.0,2021
Near North Side,93317.99999,106026.0,51086.0,2021
Near South Side,24729.00001,110120.0,12498.0,2021
Near West Side,63170.0,91125.0,29996.0,2021
New City,39443.38246,34916.0,12708.0,2021
North Center,35542.99999,125033.0,17146.0,2021
North Lawndale,32073.00001,28327.0,11046.0,2021
North Park,18913.99999,56287.0,6477.0,2021
Norwood Park,38083.67228,83985.0,18936.0,2021
Oakland,7227.000002,32844.0,2481.0,2021
O'Hare,13075.04972,53509.0,5467.0,2021
Portage Park,64598.55568,70559.0,26271.0,2021
Pullman,6840.000001,43539.0,2908.0,2021
Riverdale,7358.999999,15396.0,1920.0,2021
Rogers Park,55475.00001,43177.0,23171.0,2021
Roseland,39162.00001,40786.0,13075.0,2021
South Chicago,29936.0,34856.0,8586.0,2021
South Deering,15474.99997,36315.0,4643.0,2021
South Lawndale,72156.99999,34705.0,16862.0,2021
South Shore,52454.00001,32093.0,16334.0,2021
The Loop,38655.00002,108676.0,18589.0,2021
Uptown,58979.00001,55109.0,27548.0,2021
Washington Heights,26742.0,51800.0,9119.0,2021
Washington Park,10969.0,25423.0,3716.0,2021
West Elsdon,19151.02982,60836.0,6753.0,2021
West Englewood,26345.99999,26821.0,9680.0,2021
West Garfield Park,16421.02013,24169.0,5517.0,2021
West Lawn,31886.0,54922.0,12093.0,2021
West Pullman,27038.00848,42271.0,8866.0,2021
West Ridge,78466.00002,53877.0,27192.0,2021
West Town,84698.0,104639.0,47147.0,2021
Woodlawn,22655.0,25450.0,8033.0,2021
Albany Park,49280.0,69397.59036,18650.0,2022
Archer Heights,13533.0,48793.10345,4706.0,2022
Armour Square,13438.84426,37122.66529,5230.0,2022
Ashburn,42902.0,71951.49017,17024.0,2022
Auburn Gresham,46698.0,37484.19389,15048.0,2022
Austin,95073.0,35555.36685,34568.0,2022
Avalon Park,9596.682362,54418.51813,3400.0,2022
Avondale,37360.0,73616.00306,15948.0,2022
Belmont Cragin,78788.0,58138.0978,27559.0,2022
Beverly,19817.0,110018.1598,10094.0,2022
Bridgeport,32863.15574,58670.10682,13960.0,2022
Brighton Park,42728.0,45781.71091,13468.0,2022
Burnside,2180.0,39351.85185,826.0,2022
Calumet Heights,12343.0,57420.14742,4906.0,2022
Chatham,31395.31764,39858.57561,10384.0,2022
Chicago Lawn,51243.0,36277.83964,17161.0,2022
Clearing,24382.0,58168.13049,10538.0,2022
Douglas,21450.0,35796.1165,7102.0,2022
Dunning,43587.0,74525.7732,20094.0,2022
East Garfield Park,18075.0,23066.57224,7447.0,2022
East Side,22923.79466,52003.37755,7749.0,2022
Edgewater,58693.0,58283.37875,26540.0,2022
Edison Park,11002.0,113960.728,6163.0,2022
Englewood,22019.0,22228.26087,7448.0,2022
Forest Glen,19928.0,129516.6403,8946.0,2022
Fuller Park,2232.313253,17216.78622,890.0,2022
Gage Park,35300.0,42271.4808,12116.0,2022
Garfield Ridge,36049.0,80005.68828,15518.0,2022
Grand Boulevard,23669.0,39110.73826,8549.0,2022
Greater Grand Crossing,29429.0,30109.64912,9512.0,2022
Hegewisch,9250.205343,57846.64934,3719.0,2022
Hermosa,23163.0,54773.13975,8268.0,2022
Humboldt Park,54401.0,41535.65292,18825.0,2022
Hyde Park,27722.0,52422.56637,11543.0,2022
Irving Park,53604.0,72045.04095,23181.0,2022
Jefferson Park,27194.0,77198.06008,12527.0,2022
Kenwood,17972.0,52336.4486,7193.0,2022
Lake View,101428.0,91941.20988,56641.0,2022
Lincoln Park,69568.0,117048.0738,33843.0,2022
Lincoln Square,41350.0,80899.83877,20264.0,2022
Logan Square,71374.0,84653.4034,36513.0,2022
Lower West Side,32672.0,59889.22457,12726.0,2022
McKinley Park,15246.0,61814.25486,6026.0,2022
Montclare,14382.0,55882.35294,5546.0,2022
Morgan Park,20534.30293,64137.0976,9413.0,2022
Mount Greenwood,18840.0,97760.69519,9876.0,2022
Near North Side,95405.0,109049.1788,52122.0,2022
Near South Side,26376.0,115993.1326,12795.0,2022
Near West Side,62816.0,93202.49846,30787.0,2022
New City,38971.68675,35396.3424,12486.0,2022
North Center,36142.0,133537.464,17390.0,2022
North Lawndale,31310.0,30960.59113,11499.0,2022
North Park,18806.0,60362.90323,6763.0,2022
Norwood Park,38408.19118,90475.12039,18467.0,2022
Oakland,6973.0,36837.60684,2467.0,2022
O'Hare,13498.30016,60440.97616,5397.0,2022
Portage Park,63919.0,75868.65629,26495.0,2022
Pullman,7131.0,48056.72269,2950.0,2022
Riverdale,7414.0,19676.96629,1944.0,2022
Rogers Park,55643.0,46244.10377,23044.0,2022
Roseland,39623.0,44040.6051,13058.0,2022
South Chicago,29977.0,39798.13665,8539.0,2022
South Deering,15144.0,30127.84091,4769.0,2022
South Lawndale,70235.0,36919.74596,17404.0,2022
South Shore,52740.0,35886.77751,16930.0,2022
The Loop,39327.0,113599.1379,19489.0,2022
Uptown,59453.0,57878.09524,27847.0,2022
Washington Heights,26940.0,53580.48162,9251.0,2022
Washington Park,10427.0,23351.06383,3719.0,2022
West Elsdon,18523.0,54185.77982,7000.0,2022
West Englewood,26158.0,26438.54749,9753.0,2022
West Garfield Park,16489.0,29443.39623,5633.0,2022
West Lawn,32162.0,54757.83476,12484.0,2022
West Pullman,26484.0,46380.45541,8858.0,2022
West Ridge,78763.0,57937.30032,27115.0,2022
West Town,84437.0,112555.2091,47718.0,2022
Woodlawn,22502.0,27540.98361,8161.0,2022
Albany Park,48647.0,72370.58824,18650.0,2023
Archer Heights,13591.0,52003.5461,4706.0,2023
Armour Square,13323.66393,37404.95365,5230.0,2023
Ashburn,44215.0,72904.5512,17024.0,2023
Auburn Gresham,48039.0,37740.96386,15048.0,2023
Austin,97313.0,38406.99566,34568.0,2023
Avalon Park,9740.26656,53867.30091,3400.0,2023
Avondale,36820.0,80904.71363,15948.0,2023
Belmont Cragin,78610.0,61468.3645,27559.0,2023
Beverly,19919.0,113823.5294,10094.0,2023
Bridgeport,34387.33607,68079.95144,13960.0,2023
Brighton Park,43197.0,47962.35679,13468.0,2023
Burnside,2652.0,45588.23529,826.0,2023
Calumet Heights,12843.0,67195.94595,4906.0,2023
Chatham,32527.73344,40334.84556,10384.0,2023
Chicago Lawn,51169.0,38434.84419,17161.0,2023
Clearing,25507.0,64546.33205,10538.0,2023
Douglas,21278.0,38119.26606,7102.0,2023
Dunning,44277.0,77817.11823,20094.0,2023
East Garfield Park,19908.0,25692.18241,7447.0,2023
East Side,24353.39344,55740.01162,7749.0,2023
Edgewater,58084.0,61872.19731,26540.0,2023
Edison Park,11494.0,115000.0,6163.0,2023
Englewood,21054.0,24429.10448,7448.0,2023
Forest Glen,20311.0,132901.5544,8946.0,2023
Fuller Park,2288.722892,16281.42219,890.0,2023
Gage Park,35621.0,43541.66667,12116.0,2023
Garfield Ridge,36704.0,84305.38366,15518.0,2023
Grand Boulevard,24401.0,40745.5157,8549.0,2023
Greater Grand Crossing,29309.0,32380.11283,9512.0,2023
Hegewisch,9318.60656,57685.95828,3719.0,2023
Hermosa,23201.0,59788.86756,8268.0,2023
Humboldt Park,55785.0,46785.71429,18825.0,2023
Hyde Park,28801.0,58518.31897,11543.0,2023
Irving Park,54280.0,78943.60269,23181.0,2023
Jefferson Park,27172.0,83427.67296,12527.0,2023
Kenwood,18492.0,54320.38835,7193.0,2023
Lake View,102611.0,95172.69513,56641.0,2023
Lincoln Park,69641.0,123044.0724,33843.0,2023
Lincoln Square,42338.0,85435.59858,20264.0,2023
Logan Square,71419.0,91246.58555,36513.0,2023
Lower West Side,33588.0,61925.13369,12726.0,2023
McKinley Park,15558.0,65871.95122,6026.0,2023
Montclare,13776.0,57491.2892,5546.0,2023
Morgan Park,21634.0327,66486.41319,9413.0,2023
Mount Greenwood,19477.0,106537.5982,9876.0,2023
Near North Side,98505.0,114790.1428,52122.0,2023
Near South Side,26816.0,113009.7879,12795.0,2023
Near West Side,65019.0,98568.73002,30787.0,2023
New City,39497.27711,37273.91656,12486.0,2023
North Center,37094.0,142107.2134,17390.0,2023
North Lawndale,32106.0,31332.23684,11499.0,2023
North Park,18847.0,64475.60976,6763.0,2023
Norwood Park,39550.84112,95991.22665,18467.0,2023
Oakland,7413.0,29583.33333,2467.0,2023
O'Hare,13624.03157,62264.04633,5397.0,2023
Portage Park,65563.0,78052.00872,26495.0,2023
Pullman,7147.0,53577.0751,2950.0,2023
Riverdale,7934.0,17697.04433,1944.0,2023
Rogers Park,55789.0,51055.16872,23044.0,2023
Roseland,39128.0,45992.85714,13058.0,2023
South Chicago,30399.0,40003.64431,8539.0,2023
South Deering,15198.0,32103.82514,4769.0,2023
South Lawndale,70281.0,38953.14353,17404.0,2023
South Shore,54873.0,38020.21904,16930.0,2023
The Loop,39834.0,115987.78,19489.0,2023
Uptown,59119.0,61168.83117,27847.0,2023
Washington Heights,26676.0,55427.50929,9251.0,2023
Washington Park,11607.0,23827.89318,3719.0,2023
West Elsdon,18022.0,58064.13302,7000.0,2023
West Englewood,26282.0,28374.21384,9753.0,2023
West Garfield Park,17289.0,35232.55814,5633.0,2023
West Lawn,32398.0,61456.90834,12484.0,2023
West Pullman,26951.0,48635.67073,8858.0,2023
West Ridge,79897.0,58980.6425,27115.0,2023
West Town,86870.0,118293.034,47718.0,2023
Woodlawn,23302.0,28794.36326,8161.0,2023
