GEOG,TOT_POP,MEDINC,TOT_EMP_RES,year_data
Lakewood,4184.0,124778.0,1158.0,2014
Lake Zurich,19679.0,109299.0,9229.0,2014
Lansing,28270.0,51637.0,11505.0,2014
Lemont,15954.0,88662.0,6833.0,2014
Libertyville,20388.0,102523.0,8572.0,2014
Lily Lake,1024.0,100192.0,288.0,2014
Lincolnshire,7228.0,109783.0,2925.0,2014
Lincolnwood,12538.0,91250.0,5248.0,2014
Lindenhurst,14415.0,96796.0,7419.0,2014
Lisbon,316.0,63250.0,128.0,2014
Lisle,22453.0,72440.0,10035.0,2014
Lockport,24672.0,77220.0,11456.0,2014
Lombard,43180.0,71721.0,20172.0,2014
Long Grove,8031.0,191522.0,3133.0,2014
Lynwood,9042.0,53944.0,3408.0,2014
Lyons,10651.0,54685.0,4453.0,2014
McCook,304.0,59167.0,67.0,2014
McCullom Lake,1054.0,55435.0,914.0,2014
McHenry,26862.0,67740.0,10440.0,2014
Manhattan,6456.0,76474.0,3531.0,2014
Maple Park,1240.0,63409.0,338.0,2014
Marengo,7675.0,58766.0,3958.0,2014
Markham,12514.0,44730.0,3875.0,2014
Matteson,18692.0,66847.0,6503.0,2014
Maywood,24177.0,43869.0,8431.0,2014
Melrose Park,25241.0,44691.0,9175.0,2014
Merrionette Park,2088.0,39071.0,653.0,2014
Mettawa,502.0,138229.0,641.0,2014
Midlothian,14788.0,60829.0,5706.0,2014
Millbrook,271.0,98750.0,136.0,2014
Millington,768.0,62000.0,100.0,2014
Minooka,10548.0,88486.0,2052.0,2014
Mokena,18424.0,103678.0,9115.0,2014
Monee,5099.0,67371.0,2155.0,2014
Montgomery,18123.0,73406.0,8072.0,2014
Morton Grove,23194.0,72204.0,11363.0,2014
Mount Prospect,54144.0,68375.0,24867.0,2014
Mundelein,31506.0,80082.0,13561.0,2014
Naperville,142143.0,108252.0,61480.0,2014
Newark,932.0,67750.0,432.0,2014
New Lenox,24369.0,90833.0,13277.0,2014
Niles,29720.0,45546.0,12050.0,2014
Norridge,14656.0,55096.0,6932.0,2014
North Aurora,16231.0,79136.0,6724.0,2014
North Barrington,3313.0,152917.0,1098.0,2014
Northbrook,33095.0,109241.0,15195.0,2014
North Chicago,31677.0,45684.0,8183.0,2014
Northfield,5234.0,116378.0,2710.0,2014
Northlake,12287.0,56005.0,4968.0,2014
North Riverside,6920.0,53630.0,2877.0,2014
Oak Brook,7905.0,131458.0,2479.0,2014
Oakbrook Terrace,2205.0,62454.0,1083.0,2014
Oak Forest,27922.0,69048.0,13980.0,2014
Oak Lawn,56524.0,57428.0,23101.0,2014
Oak Park,51781.0,75118.0,23252.0,2014
Oakwood Hills,2266.0,84728.0,1252.0,2014
Old Mill Creek,144.0,72857.0,48.0,2014
Olympia Fields,4823.0,79762.0,1682.0,2014
Orland Hills,7118.0,78500.0,3587.0,2014
Orland Park,56607.0,77863.0,24103.0,2014
Oswego,30302.0,96819.0,14414.0,2014
Palatine,68338.0,73811.0,31172.0,2014
Palos Heights,12446.0,76436.0,6078.0,2014
Palos Hills,17458.0,55221.0,6700.0,2014
Palos Park,4805.0,81970.0,2655.0,2014
Park City,7383.0,41901.0,2572.0,2014
Park Forest,22424.0,47062.0,9234.0,2014
Park Ridge,37266.0,86621.0,16438.0,2014
Peotone,4703.0,77398.0,1839.0,2014
Phoenix,1889.0,28289.0,739.0,2014
Pingree Grove,4425.0,74837.0,2147.0,2014
Plainfield,39030.0,111637.0,16957.0,2014
Plano,10602.0,62563.0,4739.0,2014
Plattville,233.0,66667.0,,2014
Port Barrington,1610.0,107404.0,550.0,2014
Posen,5975.0,49400.0,1344.0,2014
Prairie Grove,1787.0,121635.0,1199.0,2014
Prospect Heights,16228.0,61500.0,7599.0,2014
Richmond,2092.0,52500.0,868.0,2014
Richton Park,13568.0,60516.0,5584.0,2014
Ringwood,833.0,84750.0,242.0,2014
Riverdale,13552.0,40650.0,4363.0,2014
River Forest,11174.0,121250.0,4242.0,2014
River Grove,10224.0,47584.0,4151.0,2014
Riverside,8859.0,95156.0,3799.0,2014
Riverwoods,3854.0,166579.0,1032.0,2014
Robbins,5132.0,21765.0,1996.0,2014
Rockdale,1909.0,51898.0,861.0,2014
Rolling Meadows,23645.0,60409.0,10606.0,2014
Romeoville,39175.0,70541.0,15403.0,2014
Roselle,22814.0,76878.0,12107.0,2014
Rosemont,3499.0,35461.0,1777.0,2014
Round Lake,17773.0,80954.0,8050.0,2014
Round Lake Beach,28133.0,60864.0,11016.0,2014
Round Lake Heights,2818.0,64038.0,814.0,2014
Round Lake Park,7382.0,43085.0,2417.0,2014
St. Charles,33046.0,80310.0,15029.0,2014
Sandwich,7563.0,58583.0,74.0,2014
Sauk Village,10473.0,50841.0,2377.0,2014
Schaumburg,74276.0,70060.0,36254.0,2014
Schiller Park,11782.0,41862.0,5144.0,2014
Shorewood,15611.0,87263.0,5676.0,2014
Skokie,64588.0,67030.0,28631.0,2014
Sleepy Hollow,3348.0,90031.0,1736.0,2014
South Barrington,4738.0,166250.0,2170.0,2014
South Chicago Heights,4123.0,48958.0,1506.0,2014
South Elgin,21873.0,84061.0,9840.0,2014
South Holland,21994.0,64285.0,7652.0,2014
Spring Grove,5452.0,100231.0,3261.0,2014
Steger,9629.0,43024.0,3854.0,2014
Stickney,6731.0,43832.0,2384.0,2014
Stone Park,4942.0,44886.0,1522.0,2014
Streamwood,40201.0,71306.0,17523.0,2014
Sugar Grove,8831.0,108021.0,4272.0,2014
Summit,11166.0,49070.0,3445.0,2014
Symerton,67.0,50000.0,36.0,2014
Third Lake,1448.0,119500.0,371.0,2014
Thornton,2718.0,52156.0,628.0,2014
Tinley Park,56340.0,77989.0,25658.0,2014
Tower Lakes,1430.0,148125.0,343.0,2014
Trout Valley,584.0,123750.0,,2014
Union,719.0,55938.0,201.0,2014
University Park,7034.0,48173.0,2451.0,2014
Vernon Hills,25144.0,90161.0,12220.0,2014
Villa Park,22212.0,68812.0,10132.0,2014
Virgil,375.0,85417.0,154.0,2014
Volo,2996.0,85868.0,1126.0,2014
Wadsworth,3783.0,94625.0,1909.0,2014
Warrenville,13346.0,71949.0,5726.0,2014
Wauconda,12960.0,74552.0,6629.0,2014
Waukegan,88982.0,46256.0,30118.0,2014
Wayne,2760.0,151875.0,1437.0,2014
