OBJECTID,GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV
11,Bridgeport,33694,31977,32789,6667,8973,6270,7157,2211,1040,470,36.7716165413534,10955,8160,863,12193,618,32764,27392,18073,16279,1794,9319,351,15657,8011,2426,3456,1481,284,N/A,3019,5538,3198,787,23516,5144,6899,3647,1516,4099,2211,3609,3458,2099,1274,1218,882,42629.6542553191,12540,5572,6969,1184,13726,3739,461,3387,3916,2206,5.25365025466893,1778,1622,1554,8772,,2163,5608,4258,1314,383,699,2658,1767,428,267845.303867403,13253,Accommodation and Food Service,Health Care,Education,Retail Trade,Manufacturing,1940,1423,1215,1195,1087,4390,Manufacturing,Retail Trade,Accommodation and Food Service,Finance,Education,1395,442,405,375,354,Outside of Chicago,The Loop,Near North Side,Near West Side,Armour Square,4070,2503,1037,939,724,Outside of Chicago,Bridgeport,New City,Brighton Park,Armour Square,1670,540,117,117,99,,,,,,,,,,,,,,,,11837,,,,,,,,,,1.953005605,1338.18915409914,243.563264633127,0.182009594000254,224.911108959169,0.168071238860532,31.112696150983101,0.023249849287508267,55.9100293803058,0.0417803635674691,32.9195111410897,0.0246000433049773,135.144977348502610,0.10099093759243748,491.183721874355,0.367051040856043,n/a,n/a,47.6580869804699,0.0356138643288834,75.7857576311346,0.0566330682018965,3796,3607,2582,2556,7502,983,5038,2314,45,111,2158,4301,400,1317,2584,2068,1073,473,522,3330,2347,723,260,19123,11703,30826,14091,16735,8952,14091,5028,212,10421,104,20,74,190,676,11,13819,10165,354,8808,548,,,,,,,,,,,,,,,,,,
12,Brighton Park,44912,45368,44231,14750,10005,10001,6233,1898,915,429,31.1966858789625,2798,37468,453,3253,259,44156,32664,20782,18383,2397,11882,244,17746,10746,2582,3421,807,190,N/A,1881,5111,3653,1540,25981,11325,7928,3322,1132,1693,581,3455,4329,2134,1062,819,386,38673.0969760167,12185,5778,6407,1767,13952,3305,255,6474,3475,411,5.35441101478837,444,1171,2972,9365,,1196,5980,5104,1126,546,2158,3152,388,80,167159.624413146,12544,Manufacturing,Accommodation and Food Service,Administration,Retail Trade,Health Care,1838,1527,1455,1400,1238,5273,Manufacturing,Retail Trade,Wholesale Trade,Administration,Accommodation and Food Service,1460,844,782,594,363,Outside of Chicago,The Loop,Near North Side,Near West Side,Brighton Park,4695,1506,769,691,517,Outside of Chicago,Brighton Park,Gage Park,South Lawndale,Chicago Lawn,2328,517,172,160,119,,,,,,,,,,,,,,,,13383,,,,,,,,,,0.910937306,1742.25873843423,246.082585181548,0.141243421400603,304.091753252234,0.174538802156057,27.385200409402049,0.015718216706442335,79.4682667942765,0.0456122073267342,46.8535973401198,0.0268924450235372,276.752571174390200,0.15884699847917433,697.362151205862,0.400263253569664,n/a,n/a,8.1230428396669,0.00466236309250318,56.1395702367299,0.0322222922452853,2084,2345,2121,5635,9650,1686,2535,2165,42,33,2090,5143,624,1600,2919,2092,1090,417,585,2218,1696,417,105,20867,20419,41286,6323,34963,16521,6323,31490,247,2742,89,8,0,113,224,50,8300,34409,221,1288,694,,,,,,,,,,,,,,,,,,
13,Burnside,3294,2916,2442,687,463,315,447,313,155,62,38.6979166666667,11,0,2419,0,12,2442,1961,1029,840,189,932,13,778,370,132,276,0,0,N/A,417,308,126,75,1523,285,434,454,139,98,113,473,226,49,95,63,20,24462.3655913979,926,437,489,378,1304,685,53,221,117,228,5.78835978835979,263,153,348,540,,337,293,402,202,70,329,102,6,0,99953.2710280374,842,Health Care,Education,Administration,Accommodation and Food Service,Retail Trade,166,112,89,80,79,2344,Transportation,Manufacturing,Health Care,Retail Trade,Other Service,1529,507,112,90,52,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,307,166,68,52,21,Outside of Chicago,Auburn Gresham,Greater Grand Crossing,Roseland,South Shore,827,107,102,94,93,,,,,,,,,,,,,,,,15618,,,,,,,,,,1.001540734,390.174082009607,67.2055619416798,0.172245069676424,13.8924220458988,0.0356057018814405,1.649768542546286,0.004228288393860213,14.6036429619299,0.0374285316100785,7.3727309354249,0.0188960037977186,116.359553816779540,0.29822471348549073,130.6471601825,0.334843256398775,n/a,n/a,7.01879096934144,0.017988870334982,31.4244506135072,0.0805395644212303,442,207,42,235,451,91,475,363,32,42,289,308,43,71,194,49,13,27,9,178,156,7,15,2232,93,2325,2248,77,26,2248,0,0,0,0,0,0,0,70,7,40,34,3180,7,33,,,,,,,,,,,,,,,,,,
14,Calumet Heights,15974,13812,13306,2509,1883,2803,2875,1661,1072,503,47.0797413793103,161,465,12566,12,102,13300,11401,6306,5395,911,5095,178,5113,3236,434,1342,77,24,N/A,916,2475,1415,492,10071,1138,2628,2713,968,1545,1079,1476,1276,904,758,695,189,48160.7142857143,5298,4058,1240,721,6019,4595,176,557,454,189,6.44353562005277,72,350,4197,1400,,346,1463,3110,779,321,1874,2051,92,41,154961.587708067,4677,Health Care,Education,Public Administration,Administration,Accommodation and Food Service,828,696,457,419,375,2097,Health Care,Accommodation and Food Service,Retail Trade,Professional,Information,1334,244,189,71,62,Outside of Chicago,The Loop,Near North Side,Near West Side,Avalon Park,1458,1309,332,302,75,Outside of Chicago,South Shore,South Chicago,Auburn Gresham,Calumet Heights,1229,59,48,45,41,,,,,,,,,,,,,,,,15263,,,,,,,,,,1.45008019,1120.89626821864,436.210648391821,0.389162370113926,49.6820776884637,0.0443235284986895,3.592654224782412,0.0032051620891663355,35.9485131427766,0.0320712220765147,30.2476550498845,0.0269852402113488,10.154115923467256,0.009058925621729873,463.357947343733,0.413381648669518,n/a,n/a,21.0833625895286,0.0188093788759194,70.6192938641848,0.0630025238431874,1809,1881,684,924,3266,475,2032,920,10,49,861,1675,448,319,908,904,412,183,309,1621,1139,375,107,12232,704,12936,11993,943,281,11993,444,0,7,0,0,0,0,333,159,206,747,14817,33,171,,,,,,,,,,,,,,,,,,
15,Chatham,37275,31028,30991,7677,5925,5494,7135,2159,1733,867,39.5758820686322,459,311,29836,93,291,30951,24579,15032,12161,2871,9547,435,11229,6151,928,3702,287,161,N/A,4721,5857,2444,513,21151,2596,5925,6111,1701,2805,2013,5551,3558,1993,1183,933,316,32348.2142857143,13534,5142,8393,3066,16601,5268,534,1719,2422,6638,5.44468423443889,527,1575,7437,7062,,4642,5705,4659,1238,357,2521,2251,250,90,150807.195571956,9908,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,1910,1226,1020,937,794,4301,Retail Trade,Finance,Other Service,Transportation,Health Care,1725,589,445,404,306,Outside of Chicago,The Loop,Near North Side,Near West Side,Chatham,2908,2198,856,630,181,Outside of Chicago,Chatham,Auburn Gresham,South Shore,Greater Grand Crossing,2031,181,139,130,122,,,,,,,,,,,,,,,,11046,,,,,,,,,,1.741491395,1889.82255970298,527.917895002462,0.279347863793854,255.669632892509,0.135287639349956,17.706242951550394,0.009369262135559019,178.998069815762,0.0947168658225218,69.0787711084159,0.0365530460803012,46.855866722800073,0.02479379160875517,685.507865266242,0.362736629291789,n/a,n/a,34.8873495490552,0.0184606482602993,73.2008663941873,0.0387342536569634,5903,3509,2335,1786,6900,2332,6634,3998,114,185,3699,4383,668,973,2741,1967,1024,525,418,2430,1986,289,155,28103,565,28668,27464,1204,277,27464,661,28,20,0,0,0,21,157,316,121,220,36538,24,372,,,,,,,,,,,,,,,,,,
16,Chicago Lawn,61412,55628,54265,17878,12399,10881,8698,2865,1099,445,31.1025037183937,1973,26109,25023,304,856,53962,40169,25890,20233,5657,14279,430,18947,11576,2671,3999,658,43,N/A,4403,5809,3914,1789,31826,9412,11457,6620,1786,1845,706,6195,4867,2299,1362,852,340,33616.303219107,15915,6902,9013,2926,18841,7660,152,4186,4009,2792,5.73454414241039,305,1724,10675,6137,,3253,6059,6337,2039,1153,4592,2153,111,46,122447.129909366,16455,Health Care,Administration,Retail Trade,Manufacturing,Accommodation and Food Service,2375,1943,1822,1803,1661,3543,Retail Trade,Health Care,Accommodation and Food Service,Other Service,Transportation,1744,440,304,226,186,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,7170,2017,914,862,308,Outside of Chicago,Chicago Lawn,Gage Park,Ashburn,West Lawn,1719,238,85,80,79,,,,,,,,,,,,,,,,13492,,,,,,,,,,0.014713563,2256.18607444785,672.622691159264,0.298123766819132,255.773498670769,0.113365427420858,34.140047970078705,0.015131751922736981,105.497757733578,0.0467593337838487,65.3707773698763,0.028974018637126,54.710983524593765,0.02424932240483886,706.75951077586,0.313254087852139,n/a,n/a,308.419797564126,0.136699628216438,52.8910096797072,0.0234426629428829,4013,3623,2254,6025,11118,3007,4797,4135,130,140,3865,6155,690,1430,4035,2299,900,790,609,2501,1922,509,70,36985,12730,49715,27056,22659,10362,27056,21831,73,37,57,104,0,16,482,59,6190,21534,32240,393,1055,,,,,,,,,,,,,,,,,,
17,Clearing,22331,23139,25200,6556,5422,5525,4469,1837,859,532,36.8091913903432,11672,12527,340,361,300,25190,19758,13478,12123,1355,6280,157,11752,8297,1097,1798,457,103,N/A,833,3332,3464,1025,17141,2591,6755,3556,1300,2094,845,1598,1790,1887,1415,1417,547,62908.1632653061,8654,5979,2675,509,9163,5265,516,571,881,1911,5.70733061828952,339,2293,5517,1014,,904,2658,4269,904,428,1470,4062,424,7,188020.231213873,10539,Education,Public Administration,Health Care,Manufacturing,Retail Trade,1203,1084,1037,1032,1015,3966,Manufacturing,Construction,Professional,Wholesale Trade,Real Estate,843,715,485,476,352,Outside of Chicago,The Loop,Near West Side,Near North Side,Garfield Ridge,4546,2386,481,475,281,Outside of Chicago,Clearing,Garfield Ridge,Chicago Lawn,Brighton Park,2619,213,92,76,75,,,,,,,,,,,,,,,,17022,,,,,,,,,,1.865458355,1633.2689099194,517.285005710175,0.316717597799436,77.1708341767004,0.0472493131461792,10.412508702940164,0.006375256786988017,45.0972195959613,0.0276116316927791,19.7610873312174,0.0120991021204173,131.305402543551820,0.08039423376401118,782.299514648269,0.478977778795089,n/a,n/a,34.393192571235,0.0210578872605445,15.5441446393476,0.00951719863455594,2079,2589,1210,2776,6153,810,2501,1075,61,65,949,2215,412,492,1311,1887,814,538,535,3365,2169,991,205,18499,4966,23465,12921,10544,3378,12921,7791,1747,0,158,164,64,45,559,16,17047,4688,137,152,307,,,,,,,,,,,,,,,,,,
18,Douglas,26470,18238,20559,4152,6316,3743,3413,1476,949,510,34.2897513187641,2356,649,14460,2639,455,17914,17886,9861,8281,1580,8025,380,7559,3304,435,2928,819,73,N/A,3521,4668,1076,225,13695,1748,2635,2976,823,2879,2634,4438,1895,1478,770,495,414,29398.2808022923,9490,1664,7826,1075,10565,754,646,304,553,8293,3.93581495098039,1054,3099,4947,1465,,5167,3048,1644,589,117,546,546,526,46,229200,6667,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,1146,883,627,573,570,6708,Education,Health Care,Real Estate,Administration,Accommodation and Food Service,2413,1315,652,608,429,Outside of Chicago,The Loop,Near North Side,Near West Side,Douglas,1778,1693,641,542,197,Outside of Chicago,Douglas,Auburn Gresham,South Shore,Greater Grand Crossing,2339,197,183,174,160,,,,,,,,,,,,,,,,11547,,,,,,,,,,8.483252913,1052.85884408435,70.367915036668,0.0668350894633605,166.382451546201,0.1580292101653,3.524405597480572,0.0033474625941387896,51.1374982771908,0.048570136979439,230.893511869572,0.219301488672373,0.811398637635713,0.0007706623183104554,333.117739195798,0.316393542275368,n/a,n/a,74.6555154834601,0.0709074306616917,121.968408440346,0.115844976870018,5180,2557,1031,722,3315,1084,6175,3306,193,579,2534,2504,227,649,1628,1464,578,681,205,1629,1103,389,137,16311,3499,19810,15950,3860,1772,15950,526,64,1307,50,113,88,395,1104,213,1745,295,22635,1390,405,,,,,,,,,,,,,,,,,,
19,Dunning,42164,41932,43444,10152,8785,8509,9174,3866,1938,1020,40.3324194653873,27862,12559,895,1755,373,43261,35236,23573,22193,1311,11663,281,21617,16637,1840,2312,555,273,N/A,1352,6070,5944,2170,31120,4142,10060,6819,2617,5117,2365,2915,3612,2633,2463,2654,1259,61589.5953757225,15536,11449,4087,952,16488,10561,470,1169,1137,3074,5.82511105915361,835,3211,8463,3979,,1613,6381,5791,2087,616,1525,7794,1888,218,227975.625197847,19324,Health Care,Retail Trade,Manufacturing,Education,Accommodation and Food Service,2424,2112,1927,1793,1502,6701,Health Care,Education,Administration,Retail Trade,Manufacturing,1739,1063,754,733,630,Outside of Chicago,The Loop,Near North Side,Near West Side,Dunning,9810,3044,771,678,554,Outside of Chicago,Dunning,Portage Park,Austin,Belmont Cragin,2883,554,225,193,171,,,,,,,,,,,,,,,,15422,,,,,,,,,,1.048829685,2378.21398489433,1011.55813588389,0.425343615969376,138.364162743535,0.0581798625449102,21.705805945752303,0.009126935626323277,68.0315249227817,0.0286061411441093,358.008877339201,0.150536864896583,29.324791135054074,0.012330594017744395,641.289942900653,0.269651909783529,0.085958141533734,3.614398959879691e-05,73.3334099789278,0.0308354969084862,36.5113759029975,0.0153524351193401,4121,4661,2810,3944,10853,1228,4683,1933,13,98,1822,4309,681,967,2661,2628,1041,631,956,6299,4295,1445,559,27189,13552,40741,19034,21707,8749,19034,8732,9020,154,876,255,34,194,2297,145,34394,5441,234,1315,780,,,,,,,,,,,,,,,,,,
20,East Garfield Park,20881,20567,20225,6430,5031,3571,3298,1071,601,224,30.3578802477632,1079,711,18147,80,208,19305,14913,7488,6119,1369,7425,273,5763,2813,238,2278,286,147,N/A,2987,2723,955,260,11862,2544,4005,2733,785,1205,591,3551,1466,703,618,388,199,24000,6925,1546,5379,1481,8406,971,365,2181,2520,2369,5.52010658914729,722,984,1161,5539,,1862,2479,2975,792,299,646,720,145,30,174702.380952381,7101,Health Care,Retail Trade,Administration,Education,Accommodation and Food Service,1303,843,814,661,625,3521,Health Care,Professional,Administration,Construction,Manufacturing,1247,656,424,279,163,Outside of Chicago,The Loop,Near West Side,Near North Side,West Town,2775,1091,498,479,222,Outside of Chicago,Austin,East Garfield Park,Humboldt Park,Logan Square,1427,159,109,92,87,,,,,,,,,,,,,,,,7995,,,,,,,,,,4.22344441,1236.98852356039,58.8350693009222,0.0475631488735068,208.1052651701,0.168235404942252,9.221605528081476,0.007454883656914768,38.6635776149525,0.0312562136822969,82.5245664608267,0.0667140922401596,74.813903816058897,0.06048067737987102,412.463766438061,0.333441869978614,n/a,n/a,183.051247627688,0.147981362915815,169.309521603698,0.13687234633057,2467,1665,1077,1717,4235,1585,2690,2457,119,154,2185,1890,236,440,1214,698,288,306,104,1178,778,336,64,18249,336,18584,17852,733,189,17852,605,47,0,46,6,0,19,9,1,235,207,20296,25,118,,,,,,,,,,,,,,,,,,
21,East Side,23653,23042,22982,7426,4751,4503,3979,1183,748,392,32.6901076716016,3929,18387,562,66,38,22976,17379,11240,9170,2050,6139,75,9021,6556,1067,1031,351,17,N/A,974,2597,2100,1157,13761,4174,4731,2508,621,1240,487,1786,2030,1148,947,669,249,42917.8272980501,6828,4712,2117,916,7744,4807,158,1626,906,249,6.06918093475243,102,478,4074,3089,,421,2356,3502,1188,277,3264,1312,95,37,121557.80075188,7491,Manufacturing,Health Care,Education,Accommodation and Food Service,Retail Trade,1040,930,771,723,689,1425,Transportation,Administration,Retail Trade,Accommodation and Food Service,Construction,276,206,206,166,157,Outside of Chicago,The Loop,Near North Side,Near West Side,East Side,3275,1267,368,306,224,Outside of Chicago,East Side,Hegewisch,South Deering,South Chicago,821,224,40,36,30,,,,,,,,,,,,,,,,18054,,,,,,,,,,7.507907813,1908.48078875306,465.409111089725,0.243863660474051,80.8951059837197,0.0423871733267873,11.951560234189905,0.006262342437305159,58.4246540501733,0.0306131737843409,99.845034380175,0.0523164995783953,112.395863056279940,0.05889284488407967,739.722681350754,0.38759765658111,n/a,n/a,209.725962497046,0.109891576448131,130.110816110996,0.0681750724857996,1464,1475,1244,2644,5239,958,1589,1353,31,92,1230,2377,481,644,1253,1108,563,280,265,1856,1529,293,35,14951,6666,21617,6211,15405,5239,6211,14872,412,33,0,18,0,0,70,1,6951,16113,242,57,290,,,,,,,,,,,,,,,,,,
22,Edgewater,62198,56521,55430,8155,16364,12013,11269,4434,2049,1146,38.4784501523727,30615,9081,7592,6430,1712,52325,49792,34046,31680,2366,15746,1968,29297,11045,1843,13580,2190,639,N/A,11243,12907,4001,516,43577,4102,6425,6974,2278,13743,10055,8023,6735,5020,3033,3117,2739,47636.4142538976,28667,10262,18405,3684,32351,2016,410,1827,2690,25382,4.32538988485643,1021,6583,10934,13813,,17752,9704,3668,792,435,2460,4104,2121,1474,238680.25751073,26824,Health Care,Professional,Education,Accommodation and Food Service,Retail Trade,3571,3471,3006,2882,2352,12608,Education,Health Care,Accommodation and Food Service,Retail Trade,Other Service,3816,3374,1676,1119,603,Outside of Chicago,The Loop,Near North Side,Near West Side,Edgewater,8639,5652,3381,1503,1153,Outside of Chicago,Edgewater,Rogers Park,West Ridge,Uptown,5005,1153,626,558,497,,,,,,,,,,,,,,,,7649,,,,,,,,,,1.748266343,1111.66463479597,148.265371475685,0.133372392028012,355.067421933903,0.319401563043401,24.599573461763210,0.02212859228563853,77.2921921685027,0.0695283359290176,61.802902337908,0.0555949163114748,6.569742370468953,0.0059098240286062104,348.572128203659,0.313558709428258,n/a,n/a,81.2645994541159,0.0731017223274635,8.2307033899614,0.00740394461812851,15039,8951,2524,2153,10392,1111,18275,5841,250,733,4858,8128,439,2538,5151,5020,1379,2221,1420,8889,6182,1859,848,37387,15883,53270,33831,19439,8268,33831,7262,3037,588,908,282,150,1495,3726,1991,29782,12176,10564,7172,2504,,,,,,,,,,,,,,,,,,
23,Edison Park,11328,11187,11008,2399,2211,2487,2141,803,691,275,41.6229838709677,9760,749,148,236,114,11001,8954,6366,6105,261,2588,183,5815,4527,267,679,230,112,N/A,320,1496,2062,586,8169,349,1695,1678,598,2369,1481,412,810,562,739,669,1273,90172.5304465494,4465,3409,1055,399,4863,3215,76,144,248,1181,6.00929899856938,136,591,3083,1053,,546,1532,1619,983,184,317,1102,1546,440,336143.039591315,6114,Public Administration,Education,Health Care,Retail Trade,Professional,856,842,677,517,484,2606,Administration,Professional,Accommodation and Food Service,Health Care,Real Estate,891,422,211,205,128,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,2956,1524,250,166,163,Outside of Chicago,Edison Park,Norwood Park,Austin,Dunning,1460,134,104,57,54,,,,,,,,,,,,,,,,14890,,,,,,,,,,2.053389701,726.269824353444,379.041753540504,0.521902109698614,40.0163117506248,0.0550984088954115,5.992233785532012,0.008250699099148925,23.7762007381705,0.032737420640238,10.7428918935541,0.0147918742226663,9.081289905874062,0.012504016553294918,236.621007013812,0.325803164442997,n/a,n/a,20.232498751021,0.0278581018687274,0.765636974351692,0.00105420457890192,1273,1675,535,982,2957,134,1508,217,0,21,196,895,177,253,465,558,246,96,216,2670,1927,636,107,9235,1266,10501,8579,1922,587,8579,565,513,5,10,11,18,132,635,33,10572,463,19,200,74,,,,,,,,,,,,,,,,,,
24,Englewood,40222,30654,26020,8303,6249,3883,4497,1734,962,392,31.0803253685816,204,756,24690,62,308,25883,19286,10149,6564,3585,9137,347,5972,2833,336,2566,153,84,N/A,4460,3489,1052,190,15607,3835,5624,3867,1125,873,283,5360,2258,775,418,304,76,20111.8925831202,9191,2363,6828,5045,14236,3211,324,4955,2225,3485,5.71258779038358,701,2084,4124,7327,,2560,4698,4792,1516,670,1679,552,84,44,101449.742268041,7241,Health Care,Administration,Retail Trade,Accommodation and Food Service,Transportation,1403,952,938,740,540,1959,Health Care,Retail Trade,Education,Other Service,Accommodation and Food Service,1150,326,168,102,59,Outside of Chicago,The Loop,Near North Side,Near West Side,Near South Side,3015,957,441,397,130,Outside of Chicago,Englewood,Auburn Gresham,Chicago Lawn,Greater Grand Crossing,712,108,87,60,59,,,,,,,,,,,,,,,,7668,,,,,,,,,,2.325856734,1966.30676318165,237.933269189619,0.121005162391154,305.825942829199,0.155533179540281,13.530140584632074,0.00688099173434118,38.2408559562668,0.0194480620584297,169.938567741397,0.0864252571996561,13.497832132685238,0.00686456070101932,720.565354335226,0.366456225359919,n/a,n/a,43.6488692352654,0.022198402636137,423.125931177356,0.215188158379063,3568,1971,1476,2176,5344,2039,3847,3973,208,233,3532,3002,517,659,1826,770,385,285,100,798,733,52,13,23008,618,23626,22797,829,303,22797,590,7,5,8,0,0,34,46,139,178,347,39352,27,318,,,,,,,,,,,,,,,,,,
25,Forest Glen,18165,18508,18651,5085,2678,4039,3831,1438,1071,509,41.3732394366197,13669,2440,169,1976,397,18627,14184,9763,9265,498,4421,397,8667,6782,670,1050,121,44,N/A,320,2137,3124,1099,12796,615,1876,1991,559,4461,3293,701,856,753,755,1482,2131,108145.734597156,6678,6023,656,465,7144,5909,330,287,238,380,7.02848318462594,297,632,4537,1678,,303,1519,3710,1214,397,296,1048,2879,1769,411979.913916786,8533,Education,Health Care,Public Administration,Professional,Retail Trade,1157,1132,860,813,723,4743,Health Care,Professional,Retail Trade,Wholesale Trade,Finance,1832,617,421,359,233,Outside of Chicago,The Loop,Near North Side,Near West Side,Forest Glen,3325,2236,491,313,248,Outside of Chicago,Forest Glen,West Ridge,Portage Park,Albany Park,2696,248,139,114,105,,,,,,,,,,,,,,,,17034,,,,,,,,,,2.698422645,2046.16379469471,822.334900200565,0.401891042316708,33.1467953894595,0.0161994828935017,6.030397212460783,0.0029471722782391132,47.5515632545446,0.0232393728096628,42.8360464946276,0.020934808154505,10.390961408586170,0.0050782647193386285,605.475151894114,0.295907470097941,n/a,n/a,471.432718076858,0.230398328471645,6.96526076348958,0.00340405825845864,1488,2174,1002,2015,4977,352,1701,402,0,7,395,1016,95,287,634,726,284,106,335,4368,2733,1186,449,14186,3226,17412,12125,5287,1469,12125,1577,763,125,523,132,196,348,1276,346,14793,1389,71,1586,326,,,,,,,,,,,,,,,,,,
26,Fuller Park,3420,2876,2457,502,446,364,538,391,153,64,47.1180555555556,123,141,2175,16,2,2451,2013,968,697,271,1045,3,665,331,72,224,37,1,N/A,641,271,145,29,1780,472,648,318,143,122,77,603,281,86,52,61,6,22456.1403508772,1089,384,710,422,1515,308,83,457,192,457,5.21698113207547,44,213,593,665,,463,471,448,66,68,275,80,16,11,109267.24137931,849,Health Care,Retail Trade,Administration,Accommodation and Food Service,Education,170,107,96,79,69,1480,Manufacturing,Wholesale Trade,Retail Trade,Health Care,Accommodation and Food Service,527,280,235,191,142,Outside of Chicago,The Loop,Near West Side,Near North Side,Near South Side,304,110,58,54,19,Outside of Chicago,Auburn Gresham,Austin,New City,Chicago Lawn,662,52,44,38,33,,,,,,,,,,,,,,,,7070,,,,,,,,,,3.236460406,457.224630766108,27.7875571754691,0.0607744100069792,27.8304610389338,0.0608682454230476,3.915838231572552,0.008564364139813126,16.7077997464857,0.0365417753599379,20.0906594028365,0.0439404573834383,34.175120928675852,0.07474470671322614,262.792424236475,0.574755615847183,n/a,n/a,11.2536828846259,0.0246130285364761,52.6710871210331,0.115197396589898,539,240,148,162,522,90,568,476,27,117,332,395,30,112,253,82,32,45,5,120,106,7,7,2200,114,2314,2182,132,49,2182,77,26,6,0,1,0,0,16,6,18,116,3225,6,55,,,,,,,,,,,,,,,,,,
